,PLOT_ID,REBURN,reb,reburn,EAST.WEST,needle,prop_Kba,prop_Kstem,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,meandeepchar,PlotCBI_mean,prop_lccloss,RDNBR_SINGLE,RBR,DNBR,RDNBR
84,LOLO2,NO,0,non reburn,E,5.95,1,1,1,0.95,0.4,0.85,2.852,1,1343.2,647.4,1025.2,1125.594434
85,LOLO3,NO,0,non reburn,E,4.5,0.95691268,0.89130435,0.91,0.31,0.14,0,1.70375,0.994678064,929.5,438.1,658.2,591.2963462
86,LOLO4,NO,0,non reburn,E,4.45,0.655758324,0.75471698,0.78,0.16,0.24,0.1,1.839,0.692357309,821.2,390,596,664.414183
87,LOLO5,NO,0,non reburn,E,6,1,1,1,0.76,0.85,0.05,2.951,1,1289.3,616.7,957.5,1156.191764
88,LOLO6,NO,0,non reburn,E,5.15,1,1,1,0.52,0.16,0.3,2.705,1,903.5,434.1,682.9,664.9837592
89,LOLO7,NO,0,non reburn,E,5.2,1,1,1,0.54,0.25,0.1,2.683,1,719.7,347.1,550.5,583.1019892
90,LOLO8,NO,0,non reburn,E,1.9,0.344072855,0.48,0.98,0.51,0.14,0,1.609,0.297191323,376.9,181.5,287.3,230.9893052
91,LOLO9,NO,0,non reburn,E,1.55,0.264825035,0.57333333,0.99,0.22,0.09,0,1.493333333,0.279002143,696.3,338.2,548.3,300.2891918
92,LOLOUNB1,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,166.6,78.6,118.3,-66.82170585
93,LOLOUNB2,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,180.2,86.3,134.6,7.12399182
94,LOLOUNB3,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,162.7,78.9,127.2,-14.4079472
95,LOLOUNB4,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,190.4,90.5,138.6,-37.58030501
96,LOLOUNB5,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,171.2,79.9,117.8,-60.40641996
97,LOLOUNB6,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,171.5,79.7,116.9,-73.88793038
108,MEYEREB1,NO,0,non reburn,E,6.25,1,1,1,1,0.62,0.15,2.712,1,1136.4,500.4,680.5,1134.314096
109,MEYEREB10,NO,0,non reburn,E,6.21,1,1,1,1,0.72,0.11,2.887,1,856.4,401.7,599.1,798.380702
110,MEYEREB11,NO,0,non reburn,E,0.4,0.103198944,0.40425532,0.7,0.06,0.23,0,1.099,0.326759074,621.5,293.4,442.4,595.4684414
111,MEYEREB12,NO,0,non reburn,E,6,1,1,1,1,0.86,0,2.8325,1,1207.1,543.5,761.6,1012.491748
112,MEYEREB13,NO,0,non reburn,E,6.25,1,1,1,1,0.85,0.75,2.81,1,1263.8,600.3,917.3,1177.087357
113,MEYEREB14,NO,0,non reburn,E,6,1,1,1,1,0.93,0.05,2.752,1,1269.9,585.2,844.8,1251.605412
114,MEYEREB15,NO,0,non reburn,E,4.95,1,1,1,0.65,0.49,0.2,2.571,1,1031.5,477.2,693.2,914.1880983
115,MEYEREB16,NO,0,non reburn,E,1.81,0.704428856,0.42857143,0.6,0.11,0.31,0,1.495,0.736909704,378.2,179.9,276.4,298.2779157
116,MEYEREB17,NO,0,non reburn,E,4,0.711973376,0.8245614,0.6,0.11,0.34,0,1.324,0.887267348,1002.9,486.7,786.6,956.3552963
117,MEYEREB18,NO,0,non reburn,E,5.85,1,1,1,0.9,0.8,0,2.783,1,1187.4,530.2,732.3,1085.797547
118,MEYEREB2,NO,0,non reburn,E,6,1,1,1,1,0.7,0,2.719,1,1118.7,540.4,861.1,927.1364564
119,MEYEREB3,NO,0,non reburn,E,0.2,0.172372503,0.33333333,0.35,0.05,0.06,0,0.837,0,102.1,45.1,61.8,161.6465896
120,MEYEREB4,NO,0,non reburn,E,5.3,1,1,0.99,0.34,0.22,0.15,2.358,0.987969061,605,279.1,404.1,566.302904
121,MEYEREB5,NO,0,non reburn,E,4.55,1,1,0.84,0.31,0.35,0,2.319,1,912.5,400,541,849.6782316
122,MEYEREB6,NO,0,non reburn,E,5.95,1,1,1,0.98,0.8,0.15,2.811,1,1126.4,512.039602,723.832,1074.9
123,MEYEREB7,NO,0,non reburn,E,4.45,1,1,0.92,0.19,0.23,0.2,2.125,1,719.2,304.2,397.7,709.4973182
124,MEYEREB8,NO,0,non reburn,E,0.4,0.178884469,0.5,0.69,0.04,0.06,0,0.861,0.097963905,-503.3,-168,-193,73.13735412
125,MEYEREB9,NO,0,non reburn,E,6,1,1,1,1,0.74,0,2.801,1,1048.5,503.6,791.1,975.7185803
126,MEYEREBUNB1,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,14,6.6,10.1,12.03384656
127,MEYEREBUNB2,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-17.9,-8.5,-12.8,9.025682883
128,MEYEREBUNB3,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-294.8,-127.9,-171.2,37.31442124
129,MEYEREBUNB4,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,335.5,159.7,244.9,103.5486821
130,MEYEREBUNB5,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-136.3,-61.9,-87.5,-32.70063097
131,MEYERUNB1,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-28.5,-11.9,-15.5,-19.38238527
132,MILL1,NO,0,non reburn,E,6,1,1,1,0.76,0.96,0.1,3,1,1160.1,543.7,813.4,1183.08429
133,MILL10,NO,0,non reburn,E,6.05,1,1,1,0.83,0.95,0.2,2.975,1,831.5,398.6,622.4,840.1333277
134,MILL11,NO,0,non reburn,E,5.35,0.598765908,0.98924731,1,0.64,0.4,0,2.433,0.970015085,815,386.7,590.4,817.0226409
135,MILL12,NO,0,non reburn,E,5.94,1,1,1,0.82,0.52,0,2.79625,1,767.1,335,457.1,777.0694816
136,MILL13,NO,0,non reburn,E,5.85,1,1,1,0.73,0.27,0.15,2.754,1,887.9,424.2,656.9,851.005428
137,MILL14,NO,0,non reburn,E,2.55,0.560913918,0.90361446,1,0.21,0.06,0.25,2.157,0.865155837,494.3,232.8,349.6,428.6883299
138,MILL15,NO,0,non reburn,E,1.8,0.3373012,0.36363636,0.99,0.25,0.13,0,1.1575,0.416635136,358.7,161.2,224.9,282.4588106
139,MILL16,NO,0,non reburn,E,4.15,0.673865974,0.91836735,1,0.6,0.09,0,2.301,0.759837852,545.2,250.7,360.7,513.7054042
140,MILL17,NO,0,non reburn,E,5.55,1,1,1,0.64,0.41,0,2.84125,0.955000563,525.2,244.9,361.2,536.240076
141,MILL18,NO,0,non reburn,E,5.15,1,1,1,0.7,0.23,0,2.653,1,813.8,399,669.6,777.0313166
142,MILL19,NO,0,non reburn,E,5.35,1,1,1,0.82,0.3,0.05,2.57,1,852.6,416.5,689.5,812.9865225
143,MILL2,NO,0,non reburn,E,5.95,1,1,0.92,0.7,0.8,0.05,2.581,1,979.3,460.3,689.6,1040.691485
144,MILL20,NO,0,non reburn,E,6.3,1,1,1,0.67,0.64,0.45,2.93125,1,774.8,374.4,613.2,831.9018583
145,MILL21,NO,0,non reburn,E,5.5,1,1,1,0.78,0.24,0.06,2.657,1,779.1,368.6,561.3,734.8022275
146,MILL22,NO,0,non reburn,E,0.7,0.052924033,0.41237113,0.96,0.05,0.12,0,1.15625,0.064950057,168.2,80.8,127.1,110.5201584
147,MILL23,NO,0,non reburn,E,2.42,0.000134395,0.36842105,0.98,0.32,0.2,0,1.50875,0.447463018,-47,16.5,24.3,206.915656
148,MILL24,NO,0,non reburn,E,2.3,0.039215516,0.61538462,0.95,0.12,0.09,0,1.54,0.223403486,436.9,202.5,294.9,353.3001013
149,MILL25,NO,0,non reburn,E,2.95,0.085301089,0.57142857,0.98,0.26,0.03,0,1.7825,0.269082876,386,174.5,245.6,388.0457479
150,MILL26,NO,0,non reburn,E,5.5,1,1,1,0.84,0.25,0,2.5875,0.988728549,594.2,263.8,362.4,612.8757516
151,MILL27,NO,0,non reburn,E,1.85,0.057091827,0.63265306,0.88,0.12,0.04,0,1.704,0.092627109,144.5,67,98.3,149.6031001
152,MILL28,NO,0,non reburn,E,3.1,0.160637396,0.59183673,1,0.52,0.01,0,2.261,0.295889075,491.3,231.1,345.9,479.8309516
153,MILL29,NO,0,non reburn,E,2.65,0.062994984,0.88172043,1,0.21,0.01,0,1.90625,0.357734099,463.8,225.1,364.1,407.8437431
154,MILL3,NO,0,non reburn,E,3.15,0.652499416,0.81632653,0.87,0.23,0.1,0,1.356,0.662391107,520.6,229.9,314.8,531.5088256
155,MILL30,NO,0,non reburn,E,6.4,1,1,1,1,0.97,0.5,3,1,1050.5,493.7,737.9,1033.941788
156,MILL31,NO,0,non reburn,E,6.24,1,1,1,1,0.95,0.94,2.982,1,811.7,319.9,396.9,725.4944326
157,MILL32,NO,0,non reburn,E,6.72,1,1,1,1,0.91,0.61,2.995,1,917.7,403.4,548,913.5742688
158,MILL33,NO,0,non reburn,E,6.15,1,1,1,0.93,0.96,0.45,3,1,829.9,357.6,475.6,800.3821304
159,MILL34,NO,0,non reburn,E,6.1,1,1,1,0.84,0.78,0,3,1,867.6,401,582.3,883.4446973
160,MILL35,NO,0,non reburn,E,5.75,1,1,0.99,0.73,0.5,0.4,2.54375,1,730.6,345.3,522.4,855.7913596
